hub_id;hub_name;hub_city;hub_state;hub_latitude;hub_longitude
2;BLUE SHOPPING;PORTO ALEGRE;RS;-300.474.148;-5.121.351
3;GREEN SHOPPING;PORTO ALEGRE;RS;-300.374.149;-5.120.352
4;RED SHOPPING;PORTO ALEGRE;RS;-300.219.481;-512.083.816
5;FUNK SHOPPING;RIO DE JANEIRO;RJ;-230.007.498;-43.318.282
8;GOLDEN SHOPPING;RIO DE JANEIRO;RJ;-22.921.475;-43.234.774
13;HIP HOP SHOPPING;RIO DE JANEIRO;RJ;-228.858.199;-432.792.183
16;PEOPLE SHOPPING;RIO DE JANEIRO;RJ;-230.174.723;-434.799.389
17;SMALL SHOPPING;SAO PAULO;SP;-235.920.041;-466.365.035
18;STAR SHOPPING;RIO DE JANEIRO;RJ;-229.454.948;-431.821.807
20;PURPLE SHOPPING;RIO DE JANEIRO;RJ;-22.996.848;-43.359.636
21;WOLF SHOPPING;SAO PAULO;SP;-23.550.407;-466.973.162
22;COLOR SHOPPING;RIO DE JANEIRO;RJ;-230.007.532;-433.837.713
25;AVENUE SHOPPING;SAO PAULO;SP;-235.677.027;-46.642.043
26;SQL SHOPPING;SAO PAULO;SP;-235.630.195;-46.652.621
27;SAMPA SHOPPING;SAO PAULO;SP;-23.622.995;-46.699.204
28;RAP SHOPPING;SAO PAULO;SP;-23.595.001;-46.685.984
29;SUBWAY SHOPPING;SAO PAULO;SP;-23.561.053;-46.558.976
31;PAGODE SHOPPING;SAO PAULO;SP;-23.629.826;-46.735.203
33;COFFEE SHOPPING;SAO PAULO;SP;-23.579.067;-4.659.282
35;BEACH SHOPPING;RIO DE JANEIRO;RJ;-2.296.988;-43.370.811
36;BLACK SHOPPING;PORTO ALEGRE;RS;-30.085.743;-51.245.997
37;RIVER SHOPPING;SAO PAULO;SP;-23.507.105;-46.718.197
42;PHP SHOPPING;CURITIBA;PR;-254.381.052;-49.266.532
43;HOTMILK SHOPPING;CURITIBA;PR;-254.412.212;-4.927.769
44;FORTRAN SHOPPING;CURITIBA;PR;-254.351.398;-493.167.883
51;RUBY SHOPPING;RIO DE JANEIRO;RJ;-22.923.675;-435.677.575
55;ELIXIR SHOPPING;SAO PAULO;SP;-235.217.758;-466.241.516
73;HUBLESS SHOPPING;SAO PAULO;SP;-22.947.461;-431.834.672
75;PYTHON SHOPPING;CURITIBA;PR;-25.477.073;-4.928.966
85;REACT SHOPPING;SAO PAULO;SP;-235.133.533;-466.183.535
86;R SHOPPING;SAO PAULO;SP;-2.354.150.197;-465.766.182
91;GAROA SHOPPING;SAO PAULO;SP;-235.251.244;-465.468.072
